,Company/Brand,Amount($),Year of Funding
1263,Neobank Jupiter,86000000.0,2021
944,Instamojo,85860249.91073933,2020
1954,Univ.ai,85860249.91073933,2020
1953,Uniplatform Tech,85860249.91073933,2020
1957,Universal Sportsbiz Pvt Ltd,85860249.91073933,2020
1794,Suno India,85860249.91073933,2020
858,HomeCapital,85860249.91073933,2020
938,Inntot,85860249.91073933,2020
891,IPHM Services,85860249.91073933,2020
1754,Spyne,85860249.91073933,2020
1737,SpeakIn,85860249.91073933,2020
864,HooLiv,85860249.91073933,2020
79,Anaxee Digital Runner,85860249.91073933,2020
1577,RoomSoom,85860249.91073933,2020
1925,Trukky,85860249.91073933,2020
1722,Snack Amor,85860249.91073933,4041
1723,SnackAmor,85860249.91073933,2020
1752,Sprinng Foods,85860249.91073933,2020
1786,StyleNook,85860249.91073933,2020
873,Hudle,85860249.91073933,2020
1768,Stepathlon Lifestyle,85860249.91073933,2020
1724,Snackible,85860249.91073933,2020
906,IncubateHub,85860249.91073933,2020
875,Humus,85860249.91073933,2020
1732,Soxytoes,85860249.91073933,2020
1612,Sabse Sasta Dukaan,85860249.91073933,2020
1053,Lattu Kids,85860249.91073933,2020
1693,Skilancer,85860249.91073933,2020
1640,Savvy Co op,85860249.91073933,2020
954,Invento,85860249.91073933,2020
167,Bambrew,85860249.91073933,2020
1885,Timios,85860249.91073933,2020
1647,Seal Professional,85860249.91073933,2020
363,Codeninja,85860249.91073933,2020
1881,ThriveFNC,85860249.91073933,2020
1880,Thrive,85860249.91073933,2020
364,Codeyoung,85860249.91073933,2020
810,Habbit Health,85860249.91073933,2020
145,Awign,85860249.91073933,2020
409,Credgencies,85860249.91073933,2020
1836,Tango Eye,85860249.91073933,2020
981,KIKO TV,85860249.91073933,4041
827,Harmonizer India,85860249.91073933,2020
826,Harappa Education,85860249.91073933,2020
1854,Tesco Charge Zone,85860249.91073933,2020
1665,Shilpa Sciences,85860249.91073933,2020
111,Artivatic.ai,85860249.91073933,2020
343,ClassMonitor,85860249.91073933,2020
425,CrowdPouch,85860249.91073933,2020
1886,Tinker Coders,85860249.91073933,2020
1631,Sascan Meditech pvt ltd,85860249.91073933,2020
795,GroCurv,85860249.91073933,2020
1593,Rusk Media,85860249.91073933,2020
119,Astrogate Labs,85860249.91073933,2020
1047,LAVAL,85860249.91073933,2020
777,GogoBus,85860249.91073933,2020
1609,SaScan,85860249.91073933,2020
159,BLive,85860249.91073933,2020
1028,KopyKitab,85860249.91073933,2020
1906,Traya,85860249.91073933,2020
1025,Konfinity,85860249.91073933,2020
1897,Toppeq,85860249.91073933,2020
786,Gram Cover,85860249.91073933,2020
1620,Samadhan,85860249.91073933,2020
1621,Samosa Party,85860249.91073933,2020
1702,Sleepy Owl,85860249.91073933,2020
790,Green Cure,85860249.91073933,4041
1819,Swipez,85860249.91073933,2020
1890,Toddle,85860249.91073933,2020
1827,TUBBR,85860249.91073933,2020
115,AsknBid,85860249.91073933,2020
1080,LetsUp,85860249.91073933,2020
378,CollegeKhabri,85860249.91073933,2020
740,Generic Aadhaar,85860249.91073933,2020
76,AnalytIQSports's SuperCric,85860249.91073933,2020
1382,PayMart,85860249.91073933,2020
1306,Nupay,85860249.91073933,2020
1234,MyKaam,85860249.91073933,2020
1407,Pesto,85860249.91073933,2020
1221,Morning Context,85860249.91073933,2020
236,Bold Care,85860249.91073933,2020
1415,PhoneParLoan,85860249.91073933,2020
43,Aerostrovilos,85860249.91073933,2020
44,Aesthetic Nutrition,85860249.91073933,2020
45,Aether Biomedical,85860249.91073933,2020
1203,MobiGarage,85860249.91073933,2020
631,FarmERP,85860249.91073933,2020
1200,Mitron TV,85860249.91073933,2020
590,Evage,85860249.91073933,2020
2065,Wellversed,85860249.91073933,2020
226,Blowhorn,85860249.91073933,2020
1195,MinionLabs,85860249.91073933,2020
1324,Oda Class,85860249.91073933,2020
1445,Plop,85860249.91073933,2020
2053,WeInnovate Biosolutions,85860249.91073933,2020
645,Finaureus Technologies,85860249.91073933,2020
647,Finelistings,85860249.91073933,2020
1182,Metvy,85860249.91073933,2020
1178,MetaMerphoSys,85860249.91073933,2020
1453,PointOne Capital,85860249.91073933,2020
651,Finn,85860249.91073933,2020
1244,NEETprep,85860249.91073933,2020
2132,Zealthy,85860249.91073933,2020
2046,Walrus,85860249.91073933,2020
556,ElecTorq,85860249.91073933,2020
1328,Oga Fit,85860249.91073933,2020
2186,iKure,85860249.91073933,2020
1329,Oga Fit's,85860249.91073933,2020
541,Eden Smart Homes,85860249.91073933,2020
542,Edhusk,85860249.91073933,2020
1291,Nium,85860249.91073933,2020
2180,goStops,85860249.91073933,2020
504,Driftly Electric,85860249.91073933,2020
1335,Omatra Hotels,85860249.91073933,2020
1336,Omnify,85860249.91073933,2020
1287,Nirmata,85860249.91073933,2020
1284,Nimesa,85860249.91073933,2020
280,CUSMAT,85860249.91073933,2020
26,Aagey,85860249.91073933,2020
281,CYFIRMA,85860249.91073933,2020
282,Callido Learning,85860249.91073933,2020
1276,Newsreach,85860249.91073933,2020
1273,News Reach,85860249.91073933,2020
284,CamCom,85860249.91073933,2020
531,EWar,85860249.91073933,2020
253,Brainwired,85860249.91073933,2020
1261,NeoDocs,85860249.91073933,6062
1365,PadCare Labs,85860249.91073933,2020
1368,PakkaProfile,85860249.91073933,2020
25,Aadhar,85860249.91073933,2020
1251,NWNT (No Worry No Tension Healthcare),85860249.91073933,2020
268,Burgerama,85860249.91073933,2020
1187,MikeLegal,85860249.91073933,2020
533,Earth Energy EV,85860249.91073933,2020
2212,uFony Services Pvt ltd,85860249.91073933,2020
1086,LightSpeedAI,85860249.91073933,2020
1322,Obviously AI,85860249.91073933,2020
1482,Probus Smart Things,85860249.91073933,2020
1489,Prolixr,85860249.91073933,2020
1979,UzhavarBumi,85860249.91073933,2020
1543,ReNEWate,85860249.91073933,2020
1103,Locale ai,85860249.91073933,2020
459,DaveAI,85860249.91073933,2020
1493,Protinus Fashion Networking Pvt Ltd,85860249.91073933,2020
2013,Vieroots,85860249.91073933,2020
705,FreshToHome,85860249.91073933,2020
2011,Vicara,85860249.91073933,2020
469,DeepTek,85860249.91073933,2020
1143,MasterG,85860249.91073933,2020
456,DatStop,85860249.91073933,2020
1499,PurohitJi,85860249.91073933,2020
1508,Qin1,85860249.91073933,4041
62,Aker Foods,85860249.91073933,2020
1761,Stack Finance,85860249.91073933,2020
327,Chiratae Ventures,85860249.91073933,2020
730,GabbarDeals,85860249.91073933,2020
2016,Virtual Forest,85860249.91073933,2020
56,Ahaguru,85860249.91073933,2020
1308,Nutrova,85860249.91073933,2020
440,Customfit ai,85860249.91073933,2020
2040,WYN Studio,85860249.91073933,2020
52,Agrix,85860249.91073933,2020
53,Agro2o,85860249.91073933,2020
2035,WE-Hub,85860249.91073933,2020
663,Fitphilia,85860249.91073933,2020
2033,Voosh,85860249.91073933,2020
1962,Unocoin,85860249.91073933,2020
1468,Precily,85860249.91073933,2020
2030,Voicezen,85860249.91073933,2020
711,Friyey,85860249.91073933,2020
69,AlphaVector,85860249.91073933,2020
673,Fleeca India,85860249.91073933,2020
211,Biomoneta,85860249.91073933,2020
1161,Medfin,85860249.91073933,2020
71,Altor,85860249.91073933,2020
1311,OM Bhakti,85860249.91073933,2020
463,Dealberg,85860249.91073933,2020
344,Classplus,85700000.0,8081
2078,WinZO,83000000.0,4041
967,JetSynthesys,82000000.0,6061
859,HomeLane,81000000.0,6060
1779,Stride Ventures,80000000.0,2020
1920,True Balance,79943500.0,8082
1060,Leap Finance,77500000.0,6062
1339,OneCard,76000000.0,2021
1454,Policybazaar,75000000.0,2021
1941,Udacity,75000000.0,2020
1933,Turtlemint,75000000.0,4041
347,Clear,75000000.0,2021
1389,Peak,75000000.0,2021
1205,Mobile Premier League,74000000.0,2020
1216,MoneyTap,70185200.0,2020
209,Biocon Biologics,70000000.0,2021
1401,Pepperfry,70000000.0,4041
1952,Uni Cards,70000000.0,2021
54,AgroStar,70000000.0,2021
1791,SugarBox,68525000.0,2020
219,BlackBuck,67000000.0,2021
1298,Northern Arc,65000000.0,6063
910,India Quotient,64000000.0,2021
2156,Zorro,64000000.0,4042
1121,MFine,64000000.0,4042
196,Big Basket,63500000.0,4040
2151,Zolostays,63000000.0,4039
681,Flipkart,62000000.0,2020
1666,Shiprocket,61500000.0,6061
1233,MyGlamm,61000000.0,6062
377,CollegeDekho,61000000.0,4042
1660,Shadowfax,60000000.0,2019
1297,Nobel Hygiene,60000000.0,2021
517,Duroflex,60000000.0,2021
980,Juspay,60000000.0,2021
18,ACKO,60000000.0,2020
451,DailyHunt,59600000.0,4040
291,Captain Fresh,57300000.0,8083
539,Ecom Express,56000000.0,4040
1048,LEAD School,56000000.0,4040
2152,Zolve,55000000.0,4042
652,Finova Capital,55000000.0,2020
2028,Vogo,55000000.0,4040
1155,MedGenome,55000000.0,2020
321,Chargebee,55000000.0,2020
1559,RenewBuy,55000000.0,4042
1202,MoEngage,55000000.0,4041
1320,Observe ai,54000000.0,2020
2196,ixigo,53000000.0,2021
1600,SK Finance,53000000.0,2021
729,Gaana,51000000.0,2020
1107,Locus,50000000.0,2021
13,8i Ventures,50000000.0,2021
393,Country Delight,50000000.0,4040
926,Info Edge Venture,50000000.0,2020
1301,Nova Credit,50000000.0,2020
641,Fi,50000000.0,2021
1171,Mensa Brands,50000000.0,2021
1419,PiBeam,50000000.0,2019
1552,Rein Games,50000000.0,2019
624,FanCode,50000000.0,2021
1608,SUN Mobility,50000000.0,2021
1613,Safex Chemicals,50000000.0,2021
699,Fraazo,50000000.0,2021
821,HappyEasyGo,49400000.0,2019
1713,Smart Joules,49000000.0,2021
1344,Onsitego,49000000.0,4040
1265,NephroPlus,48000000.0,4042
2160,Zupee,48000000.0,6062
318,Chalo,47000000.0,4042
120,Ather Energy,46241000.0,4040
1162,MediBuddy,46000000.0,6063
1655,Servify,45990000.0,8080
915,Indifi,45000000.0,4042
1169,Melorra,44590000.0,6061
427,Cub McPaws,44130301.3,4039
1690,SirionLabs,44000000.0,2020
978,Jupiter,44000000.0,2021
688,FlytBase,43330301.3,2019
46,Afinoz,43330301.3,2019
446,DROR Labs Pvt. Ltd,43330301.3,2019
207,Binca Games,43330301.3,2019
650,Finly,43330301.3,2019
153,Azah Personal Care Pvt. Ltd.,43330301.3,2019
1348,Open Secret,43330301.3,2019
1497,Pumpkart,43330301.3,2019
430,Cubical Labs,43330301.3,2019
293,CarTrade,42500000.0,2020
1571,Rivigo,42400000.0,6059
1967,UpScalio,42000000.0,2021
684,FloBiz,41000000.0,4042
133,Avanti Finance,41000000.0,4042
597,Exotel,40000000.0,4041
1682,Simpl,40000000.0,2021
201,Bijnis,40000000.0,6062
1856,Tessolve,40000000.0,2021
1061,Leap India,40000000.0,4041
1258,Nazara Technologies,40000000.0,4042
160,BOX8,40000000.0,2021
234,Blume Ventures,40000000.0,2021
80,Ankur capital,40000000.0,2021
431,CueMath,40000000.0,2020
1110,LogiNext,39000000.0,2020
622,Fampay,38000000.0,2021
2051,Waycool,37500000.0,4040
833,Heads Up For Tails,37000000.0,2021
1188,Miko,37000000.0,6062
1376,Park+,36000000.0,4041
723,G.O.A.T,36000000.0,2021
307,Cashfree,35000000.0,4041
1118,M2P Fintech,35000000.0,2021
498,DotPe,35000000.0,4042
121,Ati Motors,35000000.0,2021
410,Credgenics,34300000.0,8081
326,Chingari,34300000.0,8082
1026,Koo,34100000.0,4042
630,FarMart,34000000.0,4042
962,Jai Kisan,33937000.0,4041
1466,Pravasirojgar,33000000.0,2020
336,CityMall,33000000.0,4042
583,Ess Kay Fincorp,33000000.0,2019
2066,Whatfix,32000000.0,2020
1996,Vedic Cosmeceuticals,32000000.0,2021
1563,ReshaMandi,31700000.0,4042
1487,Progcap,31000000.0,4042
1166,Medlife,31000000.0,4039
1795,Sunstone Eduversity,31000000.0,4041
1085,LifeCell,30000000.0,2021
1623,Samunnati,30000000.0,4041
81,Annapurna Finance,30000000.0,2021
94,ApplicateAI,30000000.0,2021
1057,Lead School,30000000.0,2021
1494,Public,30000000.0,2020
2020,Vistaar Finance,30000000.0,2020
1595,SATYA MicroCapital,30000000.0,4042
1601,SMEcorner,30000000.0,2020
1993,Vayana Network,30000000.0,2021
1413,Phenom People,30000000.0,2020
1285,Ninety One,30000000.0,2021
1770,Sterling Accuris Wellness,30000000.0,2021
1294,NoBroker,30000000.0,2020
402,CredAble,30000000.0,2021
1084,Lido Learning,28000000.0,8081
545,Eduisfun,28000000.0,2019
285,Camp K12,28000000.0,6062
1073,LendingKart,27439000.0,4040
1332,Ola Financial Services,27000000.0,2020
112,Arya,27000000.0,4040
1450,Pocket FM,27000000.0,4041
1776,Strata,26567328.0,6061
1321,Observe.AI,26000000.0,2019
1043,Kutumb,26000000.0,2021
2056,WeWork India,26000000.0,2021
436,Curefoods,26000000.0,4042
1031,KredX,26000000.0,2019
308,Cashify,25000000.0,4041
506,Drishti Technologies,25000000.0,2020
389,Coralogix,25000000.0,2020
408,Credenc,25000000.0,2021
2122,Your MD,25000000.0,2020
1895,Toothsi,25000000.0,4042
865,Hopscotch,25000000.0,2020
1758,Square Yards,25000000.0,2021
629,FarEye,24500000.0,2020
1015,Klub,24000000.0,6062
184,BetterPlace,24000000.0,2021
1222,Mosaic Wellness,24000000.0,2021
1946,Umeed Housing,23000000.0,2020
1697,Skit,23000000.0,2021
636,Fashinza,22600000.0,4042
1907,Treebo Hotels,22000000.0,4041
95,Appnomic,22000000.0,2019
1673,ShopUp,22000000.0,2020
717,Fullife Healthcare,22000000.0,2021
979,JusPay,21600000.0,2020
1999,Velocity,21300000.0,4042
2184,iBus,21000000.0,2021
47,AgNext,21000000.0,2021
1683,Simple Energy,21000000.0,2021
1123,MPowered,21000000.0,2020
212,Bira91,20764000.0,4040
90,Apna.co,20500000.0,4041
1554,Reliance Retail,20220000.0,4040
1446,Plum,20142000.0,8081
2117,Yellow Messenger,20000000.0,2020
948,InsuranceDekho,20000000.0,2020
1987,Vahdam,20000000.0,2021
768,GoKwik,20000000.0,4042
1551,Refyne,20000000.0,2021
811,Haber,20000000.0,2021
2091,Wonderchef,20000000.0,2021
423,CropIn,20000000.0,2021
610,FPL Technologies,20000000.0,4040
2100,Wow! Momo,20000000.0,4041
1249,NODWIN,20000000.0,2021
2187,iMerit,20000000.0,2020
37,Adda247,20000000.0,2021
2042,WakeFit,20000000.0,2020
188,Bewakoof,20000000.0,6063
1512,Quantiphi,20000000.0,2019
122,Atomberg,20000000.0,2021
523,ECOSTP,19000000.0,2020
170,BankBazaar,18767000.0,6060
1951,Uni,18500000.0,2020
1113,LoveLocal,18000000.0,2021
1743,SplashLearn,18000000.0,2021
999,Ketos,18000000.0,2020
1266,Nepra,18000000.0,2020
970,Jiffy ai,18000000.0,2020
1943,Ultrahuman,17500000.0,2021
712,FrontRow,17200000.0,4041
2079,Wingreens Farms,17000000.0,2021
515,Dukaan,17000000.0,4041
1439,PlayShifu,17000000.0,2021
1610,SaaS Labs,17000000.0,2021
1345,Onsurity,16000000.0,4042
1421,Pickrr,16000000.0,4041
1522,Qure ai,16000000.0,2020
294,Carbon Clean,16000000.0,2020
1998,Vegrow,15500000.0,4041
465,Decentro,15500000.0,2020
2138,Zest Money,15000000.0,2019
1992,Varthana,15000000.0,2020
1848,Techbooze,15000000.0,2020
1853,TenderCuts,15000000.0,2021
918,Industry Buying,15000000.0,2020
988,Karbon Card,15000000.0,8083
455,Darwinbox,15000000.0,2021
867,House of Kieraya,15000000.0,2021
132,Avanse Financial Services,15000000.0,2020
1262,NeoDove,15000000.0,2021
22,ANSR,15000000.0,2021
1633,Satin Creditcare,15000000.0,2020
903,InVideo,15000000.0,2020
1366,PagarBook,15000000.0,2020
395,Cover Genius,15000000.0,2020
208,Biocon,15000000.0,2020
114,Asirvad Microfinance,15000000.0,2021
59,Airmeet,15000000.0,4040
1131,Magenta EV,15000000.0,2021
183,Better Capital,15000000.0,2021
1074,Lendingkart,15000000.0,2021
6,3SC,15000000.0,2021
1117,M1xchange,14500000.0,4041
200,Bijak,14500000.0,4039
1112,Loop Health,14300000.0,4041
1658,Setu,14259000.0,2020
680,Flinto,14200000.0,4040
49,Agnikul,14148000.0,4041
2111,YAP,14050000.0,4041
97,AppsForBharat,14000000.0,4042
220,BlackSoil,14000000.0,4041
1533,RailYatri,13800000.0,2020
1411,Phable,13220000.0,6060
577,EpiFi,13200000.0,2020
1915,Trinkerr,13200000.0,4042
1213,Moms Co,13000000.0,4039
276,CHARGE+ZONE,13000000.0,4041
666,Fittr,13000000.0,4041
387,Convosight,13000000.0,4041
1691,Sirona Hygiene,13000000.0,4042
892,ITILITE,13000000.0,2020
371,CoinDCX,13000000.0,4040
564,Embibe,12618300.0,2020
580,Ergos,12598000.0,6061
1521,Quizizz,12500000.0,2021
1433,Pixxel,12300000.0,4041
886,IDfy,12110000.0,4041
889,INdwealth,12000000.0,2020
1561,Rentomojo,12000000.0,4041
799,GuardianLink,12000000.0,2021
202,Bikayi,12000000.0,4041
1319,OZiva,12000000.0,2021
1529,RIPPLR,12000000.0,2021
1590,Ruptok,12000000.0,6063
2128,Yummy Corp,12000000.0,2020
581,Eruditus,11943500.0,2020
1355,Otipy,11200000.0,4041
586,Euler Motors,11130000.0,8081
1889,Toch.ai,11000000.0,2021
611,FRAAZO,11000000.0,2021
1374,Paperfly,11000000.0,2021
1751,Springboard,11000000.0,2019
84,Antaios,11000000.0,2020
1799,SuperGaming,11000000.0,4042
331,Chqbook,11000000.0,6062
1912,Tricog,10500000.0,2020
193,Biconomy,10500000.0,4042
925,Inflexor Ventures,10000000.0,2020
1790,Sugar.fit,10000000.0,2021
1715,SmartCoin,10000000.0,2021
1630,SarvaGram,10000000.0,2021
2010,Vesta Space Technology,10000000.0,2020
1730,Soothe Healthcare,10000000.0,2021
2174,ePayLater,10000000.0,2021
1738,Speciale Invest,10000000.0,2021
1360,Oye! Rickshaw,10000000.0,2020
379,CometChat,10000000.0,2021
1300,Nova Benefits,10000000.0,2021
250,Boutique Spirit Brands,10000000.0,2021
1071,LenDenClub,10000000.0,2021
2107,XpressBees,10000000.0,2020
1838,TartanSense,10000000.0,4042
2131,Zaara Biotech,10000000.0,2021
305,CashKaro,10000000.0,2020
1711,Smart Express,10000000.0,2021
2009,VestSpace,10000000.0,2020
1194,Minimalist,10000000.0,2021
187,Betterplace,10000000.0,2020
1625,Sanctum Wealth,10000000.0,2021
1189,Milk Mantra,10000000.0,2020
179,Bella Vita Organic,10000000.0,2021
4,1MG,9900000.0,2020
1091,LivFin,9700000.0,4039
274,ByteLearn,9500000.0,2021
493,Docsapp,9500000.0,2020
1692,Skeps,9500000.0,2021
1646,Sea6 Energy,9000000.0,2021
1793,Sunday,9000000.0,2020
1464,Practically,9000000.0,4042
1105,Loco,9000000.0,2021
1135,Makers Hive,9000000.0,2021
1160,Meddo,9000000.0,4042
123,Atomberg Technologies,9000000.0,4041
1687,Sindhuja Microcredit,8700000.0,2020
1960,Unnati,8700000.0,4041
266,BulBul,8700000.0,2020
390,CoreStack,8500000.0,2020
155,BASIC Home Loan,8500000.0,4041
405,CredR,8500000.0,4041
1857,Testbook,8400000.0,2020
432,Cuemath,8388000.0,4039
1949,Unbox Robotics,8200000.0,4042
1986,Vahan,8000000.0,2021
1020,Kodo Card,8000000.0,2021
724,GENLEAP,8000000.0,2021
139,Aviom India,8000000.0,2021
846,Hevo,8000000.0,2020
243,Bombay Shirt Company,8000000.0,2019
1685,Simsim,8000000.0,2020
860,Homelane,8000000.0,2020
1618,Salesken,8000000.0,2020
497,Dot Pvt. Ltd,8000000.0,2020
575,Entropik,8000000.0,2020
2054,WeRize,8000000.0,2021
2200,mCaffeine,7900000.0,4040
2050,WayCool Foods,7800000.0,2020
1514,Questt,7750000.0,4042
1373,Paper Boat,7749500.0,4040
1000,Ketto,7700000.0,2020
1883,Tiliter,7500000.0,2020
263,Bugworks,7500000.0,2020
1046,Kyt,7500000.0,4041
2018,Visit Health,7500000.0,2021
1088,LimeChat,7500000.0,2021
1141,Masai School,7500000.0,4041
178,Beldara,7400000.0,2021
661,Fisdom,7000000.0,2020
2164,Zypp Electric,7000000.0,2021
337,Cityflo,7000000.0,2020
134,Avataa Me,7000000.0,2020
1902,TranZact,7000000.0,2021
2092,Wondrlab,7000000.0,2021
787,GramCover,7000000.0,2021
355,CloudSEK,7000000.0,2021
494,Dogsee Chew,7000000.0,2021
1111,Lohum,7000000.0,2021
861,Homeville,7000000.0,2021
3,1K Kirana Bazaar,7000000.0,2021
227,BluSmart,7000000.0,2020
479,Dezerv.,7000000.0,2021
172,Battery Smart,7000000.0,4042
1918,Troo Good,7000000.0,2021
1710,Smart Coin,7000000.0,2020
63,Akna Medical,7000000.0,2020
415,CredoLab,7000000.0,2020
974,Juicy Chemistry,6950000.0,4041
1156,MedLife,6800000.0,2020
1481,Probus Insurance,6700000.0,2021
829,Hashnode,6700000.0,2021
41,Advantage Club,6700000.0,6063
716,Fullife,6609000.0,2020
501,Dozee,6600000.0,4041
612,FRND,6500000.0,2021
254,Breathe Well-being,6500000.0,4042
359,Clover,6420000.0,4040
151,Ayu Health,6300000.0,2021
241,Bombay Shaving,6300000.0,2019
1192,Mindhouse,6286000.0,4041
1129,MYSUN,6257000.0,4041
1560,Rentmojo,6206000.0,4040
77,Anar,6200000.0,2021
1038,Kristal AI,6000000.0,2020
1649,SecureNow,6000000.0,2021
1006,Kinara Capital,6000000.0,2021
1614,Safexpay,6000000.0,2021
676,FlexiLoans,6000000.0,2020
540,Ecozen,6000000.0,2019
1644,Scentials,6000000.0,2021
793,Grinntech,6000000.0,6061
1624,Samya AI,6000000.0,2020
1775,Storia,6000000.0,2021
1223,Multi Living,6000000.0,2020
1874,The Whole Truth,6000000.0,2021
1668,Shipsy,6000000.0,2020
2095,WorkIndia,6000000.0,2020
412,Credit Wise Capital,6000000.0,2020
1547,Recko,6000000.0,2020
447,DaMENSCH,6000000.0,2020
2082,WishADish,6000000.0,2019
1694,Skillmatics,6000000.0,2021
835,Healofy,6000000.0,2021
1310,O4S,6000000.0,2021
2115,Yellow Class,6000000.0,2021
750,Get My Parking,6000000.0,2021
1128,MYRE Capital,6000000.0,2021
1721,Smytten,6000000.0,2021
1303,Nu Genes,6000000.0,2019
15,91springboard,5940000.0,2020
2114,Yap,5902000.0,4040
1534,Railofy,5900000.0,4040
950,Intello Labs,5900000.0,2020
2015,Virohan,5800000.0,6062
685,FloCareer,5700000.0,2021
1707,Slintel,5700000.0,4039
601,Exprs,5660000.0,2020
1277,Newton School,5650000.0,4041
1386,Paytm money,5600000.0,2020
2162,Zvesta,5500000.0,2020
2199,m.Paani,5500000.0,2019
1139,MarketWolf,5500000.0,2021
1041,Kuku FM,5500000.0,2020
1672,ShopSe,5500000.0,2021
472,Defy,5500000.0,2021
2075,Wiggles.in,5500000.0,2021
1892,Toffee Insurance,5500000.0,2019
522,E42,5400000.0,2021
257,Brighteye Ventures,5400000.0,2020
514,Drum Food,5305000.0,2020
913,Indian School Finance Company,5271000.0,2020
1199,Mitron,5267000.0,4040
934,InnerHour,5200000.0,2021
148,Axio Biosolutions,5200000.0,2020
144,Awifs,5200000.0,2020
1463,Powerplay,5200000.0,2021
58,Airblack,5200000.0,2021
365,CodingNinjas,5200000.0,2020
1689,Siply,5200000.0,6063
924,Infinite Uptime,5100000.0,2020
911,IndiaLends,5100000.0,2021
2007,Vernacular ai,5100000.0,2020
1370,Pandorum,5060000.0,2020
2049,WayCool,5060000.0,2020
551,EkAnek,5040000.0,2020
1756,SquadStack,5000000.0,2020
1524,R for Rabbit,5000000.0,2021
5,21K School,5000000.0,2021
2102,Wysa,5000000.0,4042
2034,Voxelgrids,5000000.0,2021
1924,Truemeds,5000000.0,2021
1772,StockGro,5000000.0,2021
2006,Verloop.io,5000000.0,2020
2146,Zingbus,5000000.0,4042
1652,SenseHawk,5000000.0,2020
1877,TheHouseMonk,5000000.0,2021
1882,Tickertape,5000000.0,2021
14,90+ My Tuition App,5000000.0,2021
1362,Oziva,5000000.0,2020
175,BeatO,5000000.0,2021
1617,SalaryFits,5000000.0,2019
1444,Plix,5000000.0,2021
2148,ZipLoan,5000000.0,4040
1789,SucSEED Indovation,5000000.0,2020
1363,Ozonetel,5000000.0,2021
599,Exponent Energy,5000000.0,2021
893,IVF Access,5000000.0,2020
562,Elucidata,5000000.0,2021
1089,Lio,5000000.0,2021
1253,Nalanda Learning,5000000.0,2021
1097,Livve Homes,5000000.0,2021
591,Even,5000000.0,2021
1201,MoEVing,5000000.0,2021
986,Kale Logistics,5000000.0,2021
657,Fireflies .ai,5000000.0,2019
385,ConveGenius,5000000.0,2021
917,Indusface,5000000.0,2020
1159,MedTel Healthcare,5000000.0,2021
780,Good Health Clinic,5000000.0,2021
1381,PayGlocal,4900000.0,2021
677,Flexmoney,4800000.0,2021
621,FamPay,4700000.0,2020
1207,Mobileware Technologies,4700000.0,2021
552,Eka.care,4500000.0,2021
1760,Stack,4500000.0,2021
965,Jar,4500000.0,2021
847,HexaHealth,4500000.0,2021
1410,Petpooja,4500000.0,2021
792,Greenjoules,4500000.0,2021
407,Credable,4500000.0,2020
339,Clair,4500000.0,2020
675,Fleetx,4402400.0,4040
1240,Myglamm,4327000.0,2020
397,Craftsvilla,4309000.0,4040
736,Gamezop,4300000.0,2020
1922,TrueFan,4300000.0,2020
1720,Smartstaff,4300000.0,2021
64,Akudo,4200000.0,4042
1400,Pepper Content,4200000.0,2020
99,Aquaconnect,4000000.0,2021
358,Cloudphysician,4000000.0,2021
1616,SalaryBox,4000000.0,2021
1746,Sporjo,4000000.0,4042
1093,LivQuik Technology,4000000.0,2021
353,Clinikk,4000000.0,2021
1179,Metadome,4000000.0,2021
1980,VLCC Health Care,4000000.0,2021
1049,LIVSPACE,4000000.0,2020
746,Genius Teacher,4000000.0,4040
348,ClearDekho,4000000.0,2021
588,Eupheus,4000000.0,2021
360,Clovia,4000000.0,2020
1528,REVOS,4000000.0,2021
1106,Locobuzz,4000000.0,2021
1814,Svasti Microfinance,4000000.0,2021
2063,Wellthy Therapeutics,4000000.0,2020
2055,WeSkill,4000000.0,2021
2104,XYXX Apparels,4000000.0,2021
884,I am Love,4000000.0,2021
1727,SoOLEGAL,4000000.0,2020
2190,iNurture Education,4000000.0,2020
536,Easebuzz,4000000.0,2021
1639,Saveo,4000000.0,2021
1803,SuperZop,4000000.0,2021
1820,Synapsica,4000000.0,2021
2133,Zebu,4000000.0,2019
1414,Phi Commerce,4000000.0,2021
905,IncNut Digital,4000000.0,2020
984,Kaar Technologies,4000000.0,2021
1565,Revfin,4000000.0,2021
1267,Nestasia,4000000.0,2021
2126,Yulu,3964000.0,2020
1483,Procol,3823000.0,2020
755,Gigforce,3804000.0,4041
1140,Marquee Equity,3800000.0,2021
2119,Yojak,3800000.0,2021
1704,SleepyCat,3800000.0,2021
1804,Superplum,3800000.0,2021
256,Brick&Bolt,3700000.0,4040
1523,Qyuki,3500000.0,2020
649,Fingpay,3500000.0,2020
1519,Quintype,3500000.0,2020
2087,Wiz Freight,3500000.0,2021
1082,Leverage Edu,3500000.0,6062
92,Apnaklub,3500000.0,2021
1910,Tribe Theory,3500000.0,2020
1288,Niro,3500000.0,2021
828,Hash,3500000.0,2021
1388,Pazcare,3500000.0,2021
1714,SmartClean,3400000.0,2020
813,HaikuJAM,3400000.0,2020
267,Bulk MRO,3344000.0,2020
1807,Supertails,3300000.0,4042
2121,YoloBus,3300000.0,2020
1372,Pankhuri,3200000.0,2021
2193,inFeedo,3200000.0,2020
574,Entri,3100000.0,4040
1739,Specsmaker,3060000.0,2020
664,Fitterfly,3000000.0,2021
1486,ProfitWheel,3000000.0,2021
206,Bimaplan,3000000.0,4042
